"Regio's";"Perioden";"Kerkelijke gezindte/Geen kerkelijke gezindte (% van de bevolking)";"Kerkelijke gezindte/Totaal kerkelijke gezindte (% van de bevolking)";"Kerkelijke gezindte/Rooms-Katholiek (% van de bevolking)";"Kerkelijke gezindte/Protestantse Kerk in Nederland (% van de bevolking)";"Kerkelijke gezindte/Nederlands Hervormd (% van de bevolking)";"Kerkelijke gezindte/Gereformeerd (% van de bevolking)";"Kerkelijke gezindte/Islam (% van de bevolking)";"Kerkelijke gezindte/Overige gezindte (% van de bevolking)";"Bezoek religieuze dienst/Een keer per week of vaker (% van de bevolking)";"Bezoek religieuze dienst/Twee tot drie keer per maand (% van de bevolking)";"Bezoek religieuze dienst/Een keer per maand (% van de bevolking)";"Bezoek religieuze dienst/Minder dan een keer per maand (% van de bevolking)";"Bezoek religieuze dienst/Zelden of nooit (% van de bevolking)"
"Nederland";"2013";47;53;26;5;7;4;5;6;10;4;3;7;77
"Nederland";"2014";49;51;24;6;7;3;5;6;10;3;3;7;77
"Nederland";"2015";50;50;24;6;6;3;5;6;10;3;3;6;77
"Noord-Nederland (LD)";"2013";59;41;8;9;9;8;1;6;10;4;3;5;79
"Noord-Nederland (LD)";"2014";62;38;6;11;8;7;2;6;10;4;3;5;79
"Noord-Nederland (LD)";"2015";63;37;7;10;7;6;1;6;10;5;2;4;79
"Oost-Nederland (LD)";"2013";45;55;22;7;11;5;4;6;13;4;3;7;73
"Oost-Nederland (LD)";"2014";47;53;20;7;11;5;4;5;13;4;3;6;74
"Oost-Nederland (LD)";"2015";46;54;21;7;11;5;4;6;13;4;3;6;73
"West-Nederland (LD)";"2013";53;47;17;5;7;3;7;7;11;3;3;6;78
"West-Nederland (LD)";"2014";55;45;16;6;6;3;7;7;11;3;3;6;78
"West-Nederland (LD)";"2015";56;44;15;6;6;3;7;7;10;3;3;5;79
"Zuid-Nederland (LD)";"2013";30;70;58;2;2;1;5;3;6;3;4;11;76
"Zuid-Nederland (LD)";"2014";34;66;55;2;2;1;4;3;6;3;4;11;77
"Zuid-Nederland (LD)";"2015";36;64;53;2;2;1;4;3;5;3;4;11;77
"Groningen (PV)";"2013";64;36;6;8;7;8;2;6;10;3;2;4;80
"Groningen (PV)";"2014";66;34;5;8;6;6;2;6;11;3;2;3;81
"Groningen (PV)";"2015";69;31;5;8;5;6;1;6;11;4;2;2;81
"Friesland (PV)";"2013";54;46;8;12;9;9;1;6;10;5;4;5;75
"Friesland (PV)";"2014";58;42;5;15;7;8;1;5;10;4;3;6;77
"Friesland (PV)";"2015";58;42;7;14;6;7;1;7;11;6;3;5;76
"Drenthe (PV)";"2013";60;40;10;5;11;7;1;6;9;4;2;5;81
"Drenthe (PV)";"2014";61;39;8;8;10;6;1;6;10;4;3;4;79
"Drenthe (PV)";"2015";62;38;9;8;11;5;1;4;8;4;3;4;82
"Overijssel (PV)";"2013";43;56;23;7;11;7;3;6;15;5;4;7;69
"Overijssel (PV)";"2014";43;57;22;8;12;7;4;5;14;4;4;8;70
"Overijssel (PV)";"2015";42;58;23;8;12;6;3;6;14;5;4;7;70
"Flevoland (PV)";"2013";55;45;14;6;5;6;6;8;14;2;3;4;77
"Flevoland (PV)";"2014";54;46;13;6;4;6;6;10;16;3;2;5;74
"Flevoland (PV)";"2015";55;45;12;6;3;7;7;10;14;4;3;4;76
"Gelderland (PV)";"2013";44;56;23;8;13;4;3;5;12;4;3;7;74
"Gelderland (PV)";"2014";47;53;21;7;12;4;4;5;12;4;3;6;75
"Gelderland (PV)";"2015";47;53;21;7;12;4;4;5;13;4;3;6;74
"Utrecht (PV)";"2013";52;48;17;7;9;4;5;8;11;5;3;6;76
"Utrecht (PV)";"2014";53;47;16;7;7;5;6;6;12;4;3;7;75
"Utrecht (PV)";"2015";55;45;13;8;8;5;6;7;13;4;3;5;76
"Noord-Holland (PV)";"2013";60;40;18;3;4;2;7;7;7;3;3;5;83
"Noord-Holland (PV)";"2014";62;38;17;3;4;1;6;7;6;2;2;6;83
"Noord-Holland (PV)";"2015";63;37;16;4;3;2;7;6;6;3;3;5;84
"Zuid-Holland (PV)";"2013";50;50;16;6;9;3;8;8;13;4;3;6;76
"Zuid-Holland (PV)";"2014";52;49;15;7;8;3;8;8;13;4;3;6;75
"Zuid-Holland (PV)";"2015";52;48;14;7;8;4;8;8;12;4;3;6;76
"Zeeland (PV)";"2013";43;57;18;8;13;8;2;8;20;3;3;5;70
"Zeeland (PV)";"2014";47;53;16;12;9;8;3;6;21;4;2;5;68
"Zeeland (PV)";"2015";47;53;16;7;14;8;2;8;21;2;3;4;70
"Noord-Brabant (PV)";"2013";34;66;53;2;3;1;5;3;6;3;4;10;78
"Noord-Brabant (PV)";"2014";38;62;49;2;2;1;4;3;5;3;3;10;79
"Noord-Brabant (PV)";"2015";39;61;48;3;2;1;5;3;6;3;4;10;79
"Limburg (PV)";"2013";23;77;67;1;1;0;5;3;7;3;5;14;72
"Limburg (PV)";"2014";25;75;66;1;1;0;4;2;6;4;5;13;73
"Limburg (PV)";"2015";28;72;64;1;1;0;4;2;5;3;5;13;74
